timeofday,xjo,kospi,nikkei
13:06:00,-0.03961181,0.24198977,0.06736556
13:07:00,-0.02796838,0.30124184,0.04760171
13:08:00,-0.02736313,0.27656271,0.04651560
13:09:00,-0.03813321,0.28447279,0.03076152
13:10:00,-0.03277971,0.29596071,0.02300622
13:11:00,-0.05486222,0.24941080,0.02415126
13:12:00,-0.07682591,0.26418877,0.00598012
13:13:00,-0.06108499,0.25023303,0.03219462
13:14:00,-0.07105456,0.25705972,0.04599875
13:15:00,-0.06611304,0.22594685,0.03708545
13:16:00,-0.07922606,0.22560141,0.04881771
13:17:00,-0.07634148,0.22348900,0.01870002
13:18:00,-0.07391936,0.25505139,-0.00347988
13:19:00,-0.08346702,0.33747647,0.00324686
13:20:00,-0.09288466,0.32561099,0.01279275
13:21:00,-0.12508562,0.33108842,0.01622075
13:22:00,-0.09522718,0.36988225,-0.02312337
13:23:00,-0.10372256,0.38282143,-0.03317810
13:24:00,-0.12213573,0.35356059,-0.01919435
13:25:00,-0.09971976,0.38524553,-0.01661719
13:26:00,-0.09788419,0.37188233,-0.01580791
13:27:00,-0.11670619,0.33109377,-0.01282414
13:28:00,-0.10684391,0.37764234,0.01922564
13:29:00,-0.10409550,0.38928688,0.01548789
13:30:00,-0.10351813,0.38760615,-0.01040506
13:31:00,-0.08487650,0.29821996,-0.04107008
13:32:00,-0.08152046,0.28942393,-0.04217849
13:33:00,-0.08264740,0.29405262,-0.09246195
13:34:00,-0.11050847,0.26121914,-0.06954070
13:35:00,-0.10479502,0.27703757,-0.11928536
13:36:00,-0.10749126,0.27074963,-0.09903264
13:37:00,-0.11372489,0.26940305,-0.09116752
13:38:00,-0.11815601,0.24985047,-0.13080953
13:39:00,-0.10283106,0.23344290,-0.13212086
13:40:00,-0.09679898,0.18749532,-0.13095650
13:41:00,-0.09415767,0.18065792,-0.12984651
13:42:00,-0.09020198,0.16210597,-0.10224152
13:43:00,-0.09359284,0.18845222,-0.08086171
13:44:00,-0.08267175,0.29518084,-0.09982106
13:45:00,-0.07820347,0.25973232,-0.09562452
13:46:00,-0.05829058,0.25428648,-0.06733679
13:47:00,-0.06514272,0.25358280,-0.10095490
13:48:00,-0.06442145,0.26172554,-0.07958685
13:49:00,-0.08264485,0.25421263,-0.05077293
13:50:00,-0.06409803,0.30271941,-0.08406192
13:51:00,-0.05666214,0.30218838,-0.06402247
13:52:00,-0.05915542,0.32155528,-0.05635494
13:53:00,-0.04758305,0.40561517,-0.01886333
13:54:00,-0.05551796,0.37974743,-0.02811126
13:55:00,-0.03554790,0.38402103,-0.04321158
13:56:00,-0.03210505,0.38574488,-0.04548279
13:57:00,-0.02467580,0.42243127,-0.07037020
13:58:00,-0.02644578,0.44631445,-0.05741016
13:59:00,-0.01275031,0.44334777,-0.05347286
14:00:00,-0.02959299,0.46371243,-0.01360072
14:01:00,-0.01177903,0.49303949,-0.00415505
14:02:00,-0.00167968,0.54850233,-0.04361542
14:03:00,0.00540388,0.60298270,-0.00758271
14:04:00,-0.01341937,0.58208274,-0.01089057
14:05:00,0.00439056,0.60896380,-0.02728182
14:06:00,0.00793669,0.58400572,-0.01763829
14:07:00,0.02261241,0.57426780,-0.01826232
14:08:00,0.01545388,0.57518796,-0.01967040
14:09:00,0.00980068,0.48816841,-0.04004841
14:10:00,0.01769141,0.46508688,-0.11212597
14:11:00,-0.00304305,0.48510963,-0.11557869
14:12:00,-0.00103205,0.54596576,-0.11787941
14:13:00,0.00065455,0.62777966,-0.04634016
14:14:00,0.01693797,0.60879307,-0.05229934
14:15:00,0.00450290,0.63643407,-0.03900479
14:16:00,-0.00315755,0.74050241,-0.02327967
14:17:00,-0.00495244,0.73034422,-0.02489656
14:18:00,-0.00796389,0.72539916,-0.02923336
14:19:00,-0.01620465,0.71469704,-0.01883702
14:20:00,-0.01069155,0.71835914,-0.00653899
14:21:00,-0.00704146,0.63171941,0.00273889
14:22:00,-0.00415970,0.67652776,-0.00014492
